Gap_Start,Gap_End,Gap_Duration
2004-01-20 21:30:00,2004-01-20 22:45:00,0 days 01:15:00
2004-01-20 23:00:00,2004-01-21 01:15:00,0 days 02:15:00
2004-01-21 01:30:00,2004-01-21 03:15:00,0 days 01:45:00
2004-01-21 03:30:00,2004-01-21 08:00:00,0 days 04:30:00
2004-01-21 08:15:00,2004-01-21 10:30:00,0 days 02:15:00
2004-01-21 10:45:00,2004-01-21 12:15:00,0 days 01:30:00
2004-01-21 12:30:00,2004-01-21 14:40:00,0 days 02:10:00
2004-01-21 14:55:00,2004-01-21 22:25:00,0 days 07:30:00
2004-01-21 22:40:00,2004-01-22 00:10:00,0 days 01:30:00
2004-01-22 00:25:00,2004-01-22 06:40:00,0 days 06:15:00
2004-01-22 06:55:00,2004-01-22 08:25:00,0 days 01:30:00
2004-01-22 08:40:00,2004-01-22 12:40:00,0 days 04:00:00
2004-01-22 12:55:00,2004-01-23 03:10:00,0 days 14:15:00
2004-01-23 03:25:00,2004-01-23 17:10:00,0 days 13:45:00
2004-01-23 17:25:00,2004-01-23 22:25:00,0 days 05:00:00
2004-01-23 22:40:00,2004-01-24 00:25:00,0 days 01:45:00
2004-01-24 00:40:00,2004-01-24 04:10:00,0 days 03:30:00
2004-01-24 04:25:00,2004-01-25 15:10:00,1 days 10:45:00
2004-01-25 15:25:00,2004-01-25 18:40:00,0 days 03:15:00
2004-01-25 18:55:00,2004-01-25 19:55:00,0 days 01:00:00
2004-01-25 20:10:00,2004-01-25 21:55:00,0 days 01:45:00
2004-01-25 22:10:00,2004-01-25 23:10:00,0 days 01:00:00
2004-01-25 23:25:00,2004-01-26 01:10:00,0 days 01:45:00
2004-01-26 01:25:00,2004-01-26 04:10:00,0 days 02:45:00
2004-01-26 04:25:00,2004-01-26 05:25:00,0 days 01:00:00
2004-01-26 05:40:00,2004-01-26 06:40:00,0 days 01:00:00
2004-01-26 06:55:00,2004-01-26 07:25:00,0 days 00:30:00
2004-01-26 07:40:00,2004-01-26 09:25:00,0 days 01:45:00
2004-01-26 09:40:00,2004-01-26 10:25:00,0 days 00:45:00
2004-01-26 10:40:00,2004-01-26 11:10:00,0 days 00:30:00
2004-01-26 11:25:00,2004-01-26 12:25:00,0 days 01:00:00
2004-01-26 12:40:00,2004-01-26 13:25:00,0 days 00:45:00
2004-01-26 13:40:00,2004-01-26 14:10:00,0 days 00:30:00
2004-01-26 14:55:00,2004-01-26 16:40:00,0 days 01:45:00
2004-01-26 17:25:00,2004-01-26 18:25:00,0 days 01:00:00
2004-01-26 18:40:00,2004-01-26 19:40:00,0 days 01:00:00
2004-01-26 19:55:00,2004-01-26 20:40:00,0 days 00:45:00
2004-01-26 20:55:00,2004-01-26 22:40:00,0 days 01:45:00
2004-01-26 23:25:00,2004-01-27 00:25:00,0 days 01:00:00
2004-01-27 00:40:00,2004-01-27 01:10:00,0 days 00:30:00
2004-01-27 01:25:00,2004-01-27 01:55:00,0 days 00:30:00
2004-01-27 02:40:00,2004-01-27 04:10:00,0 days 01:30:00
2004-01-27 04:25:00,2004-01-27 10:10:00,0 days 05:45:00
2004-01-27 10:40:00,2004-01-27 11:25:00,0 days 00:45:00
2004-01-27 12:10:00,2004-01-27 12:55:00,0 days 00:45:00
2004-01-27 13:40:00,2004-01-27 14:55:00,0 days 01:15:00
2004-01-27 15:10:00,2004-01-27 16:55:00,0 days 01:45:00
2004-01-27 18:10:00,2004-01-27 18:40:00,0 days 00:30:00
2004-01-27 18:55:00,2004-01-27 20:10:00,0 days 01:15:00
2004-01-27 20:40:00,2004-01-27 21:25:00,0 days 00:45:00
2004-01-27 21:40:00,2004-01-27 22:25:00,0 days 00:45:00
2004-01-27 22:40:00,2004-01-28 00:10:00,0 days 01:30:00
2004-01-28 00:25:00,2004-01-28 01:55:00,0 days 01:30:00
2004-01-28 02:10:00,2004-01-28 02:40:00,0 days 00:30:00
2004-01-28 03:25:00,2004-01-28 04:10:00,0 days 00:45:00
2004-01-28 04:25:00,2004-01-28 04:55:00,0 days 00:30:00
2004-01-28 05:40:00,2004-01-28 06:10:00,0 days 00:30:00
2004-01-28 06:25:00,2004-01-28 09:40:00,0 days 03:15:00
2004-01-28 10:25:00,2004-01-28 11:10:00,0 days 00:45:00
2004-01-28 12:10:00,2004-01-28 13:10:00,0 days 01:00:00
2004-01-28 13:25:00,2004-01-28 13:55:00,0 days 00:30:00
2004-01-28 14:10:00,2004-01-28 14:55:00,0 days 00:45:00
2004-01-28 15:10:00,2004-01-28 15:55:00,0 days 00:45:00
2004-01-28 16:10:00,2004-01-28 16:40:00,0 days 00:30:00
2004-01-28 16:55:00,2004-01-28 18:40:00,0 days 01:45:00
2004-01-28 18:55:00,2004-01-28 21:25:00,0 days 02:30:00
2004-01-28 21:40:00,2004-01-28 23:25:00,0 days 01:45:00
2004-01-28 23:40:00,2004-01-29 00:40:00,0 days 01:00:00
2004-01-29 00:55:00,2004-01-29 02:10:00,0 days 01:15:00
2004-01-29 02:25:00,2004-01-29 02:55:00,0 days 00:30:00
2004-01-29 03:10:00,2004-01-29 03:40:00,0 days 00:30:00
2004-01-29 03:55:00,2004-01-29 05:10:00,0 days 01:15:00
2004-01-29 05:55:00,2004-01-29 10:55:00,0 days 05:00:00
2004-01-29 12:55:00,2004-01-29 13:25:00,0 days 00:30:00
2004-01-29 13:40:00,2004-01-29 15:10:00,0 days 01:30:00
2004-01-29 15:25:00,2004-01-29 21:25:00,0 days 06:00:00
2004-01-29 22:25:00,2004-01-29 23:40:00,0 days 01:15:00
2004-01-30 00:25:00,2004-01-30 01:10:00,0 days 00:45:00
2004-01-30 01:25:00,2004-01-30 01:55:00,0 days 00:30:00
2004-01-30 02:10:00,2004-01-30 03:10:00,0 days 01:00:00
2004-01-30 03:25:00,2004-01-30 04:25:00,0 days 01:00:00
2004-01-30 06:40:00,2004-01-30 07:25:00,0 days 00:45:00
2004-01-30 10:40:00,2004-01-30 11:10:00,0 days 00:30:00
2004-01-30 12:10:00,2004-01-30 12:40:00,0 days 00:30:00
2004-01-30 12:55:00,2004-01-30 14:10:00,0 days 01:15:00
2004-01-30 14:25:00,2004-01-30 21:55:00,0 days 07:30:00
2004-01-30 22:10:00,2004-01-30 22:40:00,0 days 00:30:00
2004-01-31 04:10:00,2004-01-31 04:40:00,0 days 00:30:00
2004-01-31 06:10:00,2004-01-31 07:10:00,0 days 01:00:00
2004-01-31 08:25:00,2004-01-31 08:55:00,0 days 00:30:00
2004-02-01 19:25:00,2004-02-01 20:10:00,0 days 00:45:00
2004-02-01 22:25:00,2004-02-01 22:55:00,0 days 00:30:00
2004-02-01 23:10:00,2004-02-02 00:00:00,0 days 00:50:00
2004-02-02 00:55:00,2004-02-02 01:25:00,0 days 00:30:00
2004-02-02 02:25:00,2004-02-02 02:55:00,0 days 00:30:00
2004-02-02 03:10:00,2004-02-02 04:10:00,0 days 01:00:00
2004-02-02 04:55:00,2004-02-02 05:25:00,0 days 00:30:00
2004-02-02 07:25:00,2004-02-02 07:55:00,0 days 00:30:00
2004-02-02 09:55:00,2004-02-02 10:25:00,0 days 00:30:00
2004-02-02 11:40:00,2004-02-02 12:10:00,0 days 00:30:00
2004-02-02 12:55:00,2004-02-02 13:40:00,0 days 00:45:00
2004-02-02 13:55:00,2004-02-02 14:40:00,0 days 00:45:00
2004-02-02 15:55:00,2004-02-02 16:40:00,0 days 00:45:00
2004-02-02 17:25:00,2004-02-02 18:10:00,0 days 00:45:00
2004-02-02 18:25:00,2004-02-02 19:40:00,0 days 01:15:00
2004-02-02 19:55:00,2004-02-02 21:25:00,0 days 01:30:00
2004-02-02 21:40:00,2004-02-02 23:40:00,0 days 02:00:00
2004-02-02 23:55:00,2004-02-03 00:55:00,0 days 01:00:00
2004-02-03 01:10:00,2004-02-03 03:10:00,0 days 02:00:00
2004-02-03 03:25:00,2004-02-03 06:10:00,0 days 02:45:00
2004-02-03 06:25:00,2004-02-03 07:55:00,0 days 01:30:00
2004-02-03 08:10:00,2004-02-03 08:55:00,0 days 00:45:00
2004-02-03 09:10:00,2004-02-03 10:25:00,0 days 01:15:00
2004-02-03 10:40:00,2004-02-03 12:10:00,0 days 01:30:00
2004-02-03 12:25:00,2004-02-03 14:55:00,0 days 02:30:00
2004-02-03 19:40:00,2004-02-03 20:10:00,0 days 00:30:00
2004-02-03 20:55:00,2004-02-03 21:40:00,0 days 00:45:00
2004-02-04 04:10:00,2004-02-04 04:40:00,0 days 00:30:00
2004-02-04 05:40:00,2004-02-04 06:10:00,0 days 00:30:00
2004-02-04 07:25:00,2004-02-04 07:55:00,0 days 00:30:00
2004-02-04 08:25:00,2004-02-04 08:55:00,0 days 00:30:00
2004-02-04 09:10:00,2004-02-04 09:40:00,0 days 00:30:00
2004-02-04 09:55:00,2004-02-04 10:25:00,0 days 00:30:00
2004-02-04 10:40:00,2004-02-04 11:40:00,0 days 01:00:00
2004-02-04 11:55:00,2004-02-04 12:40:00,0 days 00:45:00
2004-02-04 13:10:00,2004-02-04 14:55:00,0 days 01:45:00
2004-02-04 15:10:00,2004-02-04 16:55:00,0 days 01:45:00
2004-02-04 17:40:00,2004-02-04 19:40:00,0 days 02:00:00
2004-02-04 19:55:00,2004-02-05 01:40:00,0 days 05:45:00
2004-02-05 02:25:00,2004-02-05 02:55:00,0 days 00:30:00
2004-02-05 03:10:00,2004-02-05 03:40:00,0 days 00:30:00
2004-02-05 03:55:00,2004-02-05 04:40:00,0 days 00:45:00
2004-02-05 04:55:00,2004-02-05 08:10:00,0 days 03:15:00
2004-02-05 08:25:00,2004-02-05 09:10:00,0 days 00:45:00
2004-02-05 09:25:00,2004-02-05 13:40:00,0 days 04:15:00
2004-02-05 13:55:00,2004-02-05 16:10:00,0 days 02:15:00
2004-02-05 16:25:00,2004-02-06 01:10:00,0 days 08:45:00
2004-02-06 01:25:00,2004-02-06 02:10:00,0 days 00:45:00
2004-02-06 02:25:00,2004-02-06 04:25:00,0 days 02:00:00
2004-02-06 04:40:00,2004-02-06 05:10:00,0 days 00:30:00
2004-02-06 05:25:00,2004-02-06 06:25:00,0 days 01:00:00
2004-02-06 06:40:00,2004-02-06 07:25:00,0 days 00:45:00
2004-02-06 07:40:00,2004-02-06 08:25:00,0 days 00:45:00
2004-02-06 08:40:00,2004-02-06 09:25:00,0 days 00:45:00
2004-02-06 09:40:00,2004-02-06 10:40:00,0 days 01:00:00
2004-02-06 10:55:00,2004-02-06 11:40:00,0 days 00:45:00
2004-02-06 11:55:00,2004-02-06 13:55:00,0 days 02:00:00
2004-02-06 14:10:00,2004-02-06 15:10:00,0 days 01:00:00
2004-02-06 15:25:00,2004-02-06 16:25:00,0 days 01:00:00
2004-02-06 16:40:00,2004-02-06 17:10:00,0 days 00:30:00
2004-02-06 17:25:00,2004-02-06 18:25:00,0 days 01:00:00
2004-02-06 18:40:00,2004-02-06 20:10:00,0 days 01:30:00
2004-02-06 20:25:00,2004-02-06 21:25:00,0 days 01:00:00
2004-02-06 21:40:00,2004-02-06 23:10:00,0 days 01:30:00
2004-02-06 23:25:00,2004-02-07 00:40:00,0 days 01:15:00
2004-02-07 00:55:00,2004-02-07 02:10:00,0 days 01:15:00
2004-02-07 02:40:00,2004-02-07 03:40:00,0 days 01:00:00
2004-02-07 03:55:00,2004-02-07 04:25:00,0 days 00:30:00
2004-02-07 04:40:00,2004-02-07 06:25:00,0 days 01:45:00
2004-02-07 06:40:00,2004-02-07 07:25:00,0 days 00:45:00
2004-02-07 07:40:00,2004-02-07 08:40:00,0 days 01:00:00
2004-02-07 08:55:00,2004-02-07 12:55:00,0 days 04:00:00
2004-02-07 13:10:00,2004-02-07 17:25:00,0 days 04:15:00
2004-02-07 17:40:00,2004-02-08 08:40:00,0 days 15:00:00
2004-02-08 09:25:00,2004-02-08 10:10:00,0 days 00:45:00
2004-02-08 10:55:00,2004-02-08 12:10:00,0 days 01:15:00
2004-02-08 12:55:00,2004-02-08 15:55:00,0 days 03:00:00
2004-02-08 16:10:00,2004-02-08 16:55:00,0 days 00:45:00
2004-02-08 17:10:00,2004-02-08 17:55:00,0 days 00:45:00
2004-02-08 18:10:00,2004-02-08 19:10:00,0 days 01:00:00
2004-02-08 19:25:00,2004-02-08 21:55:00,0 days 02:30:00
2004-02-08 22:10:00,2004-02-08 23:10:00,0 days 01:00:00
2004-02-08 23:40:00,2004-02-09 01:40:00,0 days 02:00:00
2004-02-09 01:55:00,2004-02-09 05:40:00,0 days 03:45:00
2004-02-09 05:55:00,2004-02-09 06:40:00,0 days 00:45:00
2004-02-09 06:55:00,2004-02-09 07:40:00,0 days 00:45:00
2004-02-09 07:55:00,2004-02-09 08:40:00,0 days 00:45:00
2004-02-09 08:55:00,2004-02-09 13:25:00,0 days 04:30:00
2004-02-09 13:40:00,2004-02-10 06:25:00,0 days 16:45:00
2004-02-10 06:40:00,2004-02-10 09:55:00,0 days 03:15:00
2004-02-10 10:10:00,2004-02-10 17:25:00,0 days 07:15:00
2004-02-10 17:40:00,2004-02-10 19:10:00,0 days 01:30:00
2004-02-10 19:25:00,2004-02-10 21:25:00,0 days 02:00:00
2004-02-10 21:40:00,2004-02-11 01:10:00,0 days 03:30:00
2004-02-11 01:25:00,2004-02-11 10:10:00,0 days 08:45:00
2004-02-11 10:25:00,2004-02-12 09:40:00,0 days 23:15:00
2004-02-12 10:10:00,2004-02-13 00:55:00,0 days 14:45:00
2004-02-13 01:10:00,2004-02-13 11:10:00,0 days 10:00:00
2004-02-13 11:25:00,2004-02-14 04:40:00,0 days 17:15:00
2004-02-14 05:25:00,2004-02-14 09:25:00,0 days 04:00:00
2004-02-14 09:40:00,2004-02-14 10:55:00,0 days 01:15:00
2004-02-14 11:40:00,2004-02-14 13:10:00,0 days 01:30:00
2004-02-14 13:25:00,2004-02-14 15:40:00,0 days 02:15:00
2004-02-14 15:55:00,2004-02-14 19:55:00,0 days 04:00:00
2004-02-14 20:10:00,2004-02-14 21:40:00,0 days 01:30:00
2004-02-14 21:55:00,2004-02-14 23:10:00,0 days 01:15:00
2004-02-14 23:25:00,2004-02-15 00:10:00,0 days 00:45:00
2004-02-15 00:25:00,2004-02-15 01:25:00,0 days 01:00:00
2004-02-15 01:40:00,2004-02-15 03:10:00,0 days 01:30:00
2004-02-15 03:25:00,2004-02-15 04:40:00,0 days 01:15:00
2004-02-15 04:55:00,2004-02-15 06:40:00,0 days 01:45:00
2004-02-15 07:25:00,2004-02-15 07:55:00,0 days 00:30:00
2004-02-15 08:10:00,2004-02-15 09:10:00,0 days 01:00:00
2004-02-15 09:25:00,2004-02-15 10:55:00,0 days 01:30:00
2004-02-15 11:40:00,2004-02-15 13:10:00,0 days 01:30:00
2004-02-15 13:25:00,2004-02-15 14:25:00,0 days 01:00:00
